rank,team,conf,games,record,adjoe,adjde,barthag,efgp,efgdp,tor,tord,orb,drb,ftr,ftrd,2pp,2ppd,3pp,3ppd,3pr,3prd,adjt,wab
1,Connecticut,BE,34,34-0,127.9,65.2,.9996,59.7,39.3,17.4,33.5,34.7,28.1,19.4,20.0,59.8,38.0,39.6,27.4,36.1,44.2,71.8,+13.6
2,UCLA,B10,32,31-1,133.5,72.4,.9991,57.2,41.2,18.3,21.1,44.0,25.3,24.0,18.5,57.6,40.5,37.5,28.3,31.5,35.7,66.9,+17.8
3,Texas,SEC,34,31-3,125.3,70.1,.9988,53.2,43.0,16.6,31.3,40.9,27.5,29.7,34.8,53.8,42.5,33.9,29.4,19.1,30.0,70.6,+15.0
4,South Carolina,SEC,34,31-3,126.7,71.3,.9986,55.4,39.8,17.4,24.4,38.9,30.1,31.4,17.1,55.3,38.6,37.1,28.1,25.2,34.3,70.2,+15.1
5,LSU,SEC,32,27-5,127.1,74.9,.9977,54.6,40.1,19.1,25.9,47.1,27.7,33.4,27.1,53.8,37.9,38.1,29.0,21.5,40.0,75.5,+9.4
6,Michigan,B10,31,25-6,116.9,73.6,.9952,51.9,45.6,19.7,28.9,40.9,27.1,30.6,30.0,52.7,44.9,33.4,31.4,29.8,34.2,72.3,+10.6
7,Duke,ACC,32,24-8,112.7,72.7,.9936,49.2,41.2,20.7,23.9,36.6,29.4,28.1,21.9,48.4,41.2,33.9,27.4,30.1,26.5,70.1,+8.3
8,Minnesota,B10,30,22-8,116.5,77.1,.9914,50.1,44.7,16.0,24.5,36.4,24.3,22.6,22.4,49.3,43.3,34.7,31.2,29.6,40.1,65.9,+5.9
9,Iowa,B10,32,26-6,115.1,76.7,.9907,54.6,46.5,20.9,21.0,31.8,24.9,27.4,18.8,54.8,45.4,36.1,32.2,31.6,36.6,70.0,+11.5
10,Vanderbilt,SEC,31,27-4,125.9,84.0,.9906,54.3,47.7,17.9,28.0,36.9,34.4,27.1,22.5,54.1,48.0,36.4,31.6,40.6,34.3,71.2,+10.4
11,Louisville,ACC,34,27-7,118.7,79.3,.9904,51.9,44.0,18.6,23.9,37.4,26.9,23.3,24.0,52.0,44.5,34.6,28.7,33.9,35.4,69.4,+8.5
12,Maryland,B10,31,23-8,117.4,79.2,.9893,51.0,44.8,21.0,26.3,42.7,29.1,30.6,24.1,51.7,42.0,32.9,33.4,32.0,34.6,71.4,+5.8
13,Ohio St.,B10,33,26-7,116.8,78.9,.9892,51.7,46.2,17.9,28.1,31.3,32.0,25.1,24.4,51.5,43.9,34.7,33.7,34.8,35.1,73.8,+10.0
14,Oklahoma,SEC,31,24-7,113.4,77.0,.9886,49.6,40.9,20.1,22.2,39.2,26.0,28.6,31.8,52.2,40.1,29.2,28.2,31.3,35.1,77.6,+7.5
15,TCU,B12,34,29-5,113.5,77.1,.9885,54.4,37.9,19.6,20.4,32.7,25.9,22.6,25.8,55.2,36.7,35.5,27.0,41.2,31.0,67.7,+7.5
16,West Virginia,B12,33,27-6,111.5,75.8,.9883,51.2,45.9,21.5,30.8,37.0,27.1,34.5,26.6,50.8,44.4,34.7,32.9,32.2,31.2,69.9,+7.9
17,Kentucky,SEC,33,23-10,115.2,78.4,.9881,51.5,41.8,18.3,19.4,35.6,25.7,26.2,26.5,52.7,41.7,33.2,28.0,41.1,32.3,67.0,+5.4
18,North Carolina,ACC,33,26-7,112.6,77.5,.9865,52.2,41.6,19.9,23.0,35.5,25.9,22.4,26.6,51.1,40.9,36.1,28.8,37.0,33.8,68.2,+6.7
19,Washington,B10,31,21-10,112.8,79.1,.9833,51.0,44.7,21.8,19.7,36.6,27.5,21.8,23.1,50.9,45.3,34.0,28.9,35.7,29.8,66.4,+5.0
20,USC,B10,30,17-13,107.6,75.8,.9824,46.7,43.7,19.7,23.9,32.8,32.2,26.4,26.8,47.5,43.8,30.3,29.0,38.8,28.4,69.6,+3.8
21,Mississippi,SEC,34,23-11,114.3,80.7,.9821,47.4,44.8,20.0,25.5,40.2,28.7,35.6,31.2,48.7,44.1,29.4,31.2,28.2,25.9,68.1,+4.6
22,Michigan St.,B10,30,22-8,116.7,82.5,.9817,54.0,48.9,17.7,27.3,34.6,30.4,31.5,25.0,53.4,48.5,36.9,33.1,32.2,36.6,71.0,+6.2
23,Notre Dame,ACC,32,22-10,113.2,80.6,.9804,51.6,47.3,17.7,27.3,29.6,30.8,24.5,27.4,51.1,47.8,35.3,30.8,28.9,31.0,71.0,+4.9
24,Tennessee,SEC,29,16-13,113.6,81.0,.9799,48.3,47.3,20.6,25.6,36.6,32.2,26.4,30.0,49.8,47.3,31.0,31.6,45.1,28.4,73.3,+2.7
25,N.C. State,ACC,30,20-10,112.6,81.4,.9766,49.5,44.6,16.8,17.8,31.6,24.3,23.0,15.9,50.4,44.9,31.5,29.4,28.9,36.4,70.8,+3.1
26,Nebraska,B10,30,18-12,116.2,84.5,.9751,53.9,50.2,19.2,25.6,31.4,30.1,26.7,27.2,54.7,52.3,35.0,30.9,35.9,35.2,70.1,+1.7
27,Villanova,BE,32,25-7,109.5,79.7,.9746,50.7,45.1,18.9,24.7,27.2,26.9,17.5,30.2,49.9,45.5,34.6,29.5,39.9,30.1,70.1,+3.2
28,Oregon,B10,34,22-12,108.5,79.2,.9741,50.7,45.5,20.4,25.2,29.4,29.7,27.3,24.9,50.5,47.1,34.2,28.4,32.2,35.2,70.7,+3.4
29,Alabama,SEC,33,23-10,109.5,80.4,.9720,51.0,43.2,21.7,21.6,30.7,29.8,27.9,26.4,49.0,42.2,36.0,30.5,39.5,30.2,66.9,+5.1
